,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,disability,final_result,After_Click,Before_Click,date_registration,date_unregistration,Late_submission,Code_Category
0,0,1,0,1,9,2,0,0,1,836.0,98.0,159.0,0,0.0,1
1,0,0,6,1,2,1,0,0,1,1220.0,215.0,53.0,0,2.0,1
2,0,0,5,0,3,1,0,1,0,179.0,102.0,92.0,1,20.0,1
3,0,0,7,0,5,1,0,0,1,1989.0,169.0,52.0,0,0.0,1
4,0,0,11,2,5,0,0,0,1,739.0,295.0,176.0,0,5.0,1
5,0,1,10,0,8,1,0,0,1,2168.0,277.0,110.0,0,1.0,1
6,0,1,6,1,3,0,0,0,1,1312.0,180.0,67.0,0,2.0,1
7,0,0,5,0,9,0,0,0,1,1407.0,21.0,29.0,0,2.0,1
8,0,0,0,0,7,0,0,0,1,1888.0,6.0,33.0,0,1.0,1
9,0,1,4,1,3,2,0,0,1,2982.0,176.0,179.0,0,0.0,1
10,0,1,8,2,7,1,0,0,1,1180.0,139.0,103.0,0,0.0,1
11,0,0,0,0,2,0,0,0,1,1573.0,159.0,47.0,0,1.0,1
12,0,1,0,2,6,1,0,0,1,992.0,110.0,59.0,0,0.0,1
13,0,0,5,1,5,0,0,0,1,3137.0,251.0,68.0,0,0.0,1
14,0,1,6,2,4,1,0,0,1,2495.0,242.0,67.0,0,0.0,1
15,0,0,0,0,7,0,0,0,0,168.0,3.0,180.0,1,0.0,1
16,0,0,11,0,6,1,0,0,1,958.0,95.0,95.0,0,0.0,1
17,0,1,2,1,7,1,0,0,1,2123.0,204.0,130.0,0,0.0,1
18,0,1,0,0,1,1,0,0,0,105.0,11.0,50.0,0,2.0,1
19,0,1,9,0,3,1,0,0,1,2534.0,458.0,107.0,0,1.0,1
20,0,1,1,0,3,0,0,0,1,613.0,67.0,27.0,0,1.0,1
21,0,1,5,1,0,0,0,0,1,1418.0,76.0,31.0,0,5.0,1
22,0,1,8,2,7,1,0,0,0,257.0,82.0,170.0,1,0.0,1
23,0,1,10,2,7,1,0,0,1,2362.0,477.0,107.0,0,0.0,1
24,0,1,12,0,2,0,0,0,1,717.0,27.0,62.0,0,2.0,1
25,0,1,8,2,8,1,0,0,1,3802.0,302.0,103.0,0,0.0,1
26,0,1,5,0,3,0,0,0,1,1817.0,127.0,107.0,0,0.0,1
27,0,1,3,1,6,0,0,0,1,1119.0,31.0,100.0,0,0.0,1
28,0,1,2,1,6,1,0,0,1,4233.0,544.0,109.0,0,2.0,1
29,0,1,8,1,8,1,0,0,0,465.0,0.0,70.0,1,2.0,1
30,0,1,1,2,2,0,0,0,1,584.0,149.0,107.0,0,1.0,1
31,0,1,0,1,8,1,0,0,1,960.0,38.0,110.0,0,1.0,1
32,0,0,0,1,9,1,0,0,1,2091.0,252.0,43.0,0,0.0,1
33,0,1,12,2,6,1,0,0,1,3550.0,3.0,26.0,0,3.0,1
34,0,0,4,1,3,1,0,0,1,729.0,28.0,29.0,0,0.0,1
35,0,1,12,1,6,1,0,0,1,1216.0,142.0,68.0,0,2.0,1
36,0,1,10,1,0,0,0,0,1,1886.0,0.0,68.0,0,4.0,1
